group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거,표지해상도(px),비고
20,both,be4927d8-ef29-4b90-92b5-63050e7e4877,gdl,Rain,https://content.digitallibrary.io/wp-content/uploads/2023/09/38970-2d53fe4545becd5d894854649e3e2f40-image_1.jpg,Y,최대 해상도,440181,
21,title,86dbfc5a-7735-4abe-929f-97ec6036b387,african_storybook,True friends,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37771.png,,,298116,
21,title,c94b6bcf-29a8-4238-a75a-12f6787baede,bloom,True friends,https://s3.amazonaws.com/bloomharvest/8ByJNBbzCF%2f1766229040137%2fbloomdigital%2fSWPB_350-true-friends_Page_2_Image_1.png,Y,최대 해상도,883200,
21,title,fe0e9a59-5369-410a-9256-0761c2808d9f,african_storybook,True Friends,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35583.png,,,298116,
22,title,92efecf3-2aa2-4857-9b69-c79e5e6efebf,book_dash,What if,https://bookdash.github.io/bookdash-books/what-if/en/images/cover.jpg,Y,오디오 보유,620944,
22,title,2153fd1f-413f-4d92-875d-65921838784a,gdl,What if...?,https://content.digitallibrary.io/wp-content/uploads/2023/04/34708-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,,,360000,
22,title,69fbf9ac-bd4e-40e2-a046-7f9136e3dd21,gdl,What If?,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015593-7c82e3c3967af7cd0fc0bc6c6c18d468-badd7122aa68d2a339e359f03c03cc51.jpg,,,440181,
23,title,1c304aa3-8292-4eb4-9f7a-ec663dd12de5,bloom,Where is my bat?,https://s3.amazonaws.com/bloomharvest/lumimaftei%40gmail.com%2f1daac76a-b353-459a-a9cc-a2f0f8c8abc8%2fbloomdigital%2fASP_100_where_is_my_bat_Page_01_Image_000111.jpg,,,267600,
23,title,5ac92c9b-80e3-4da8-b970-85b0e736163e,african_storybook,Where is my Bat?,https://africanstorybook.org/illustrations/covers/2615.png,,,38400,
23,title,e147b8b7-7e32-4aca-9ca5-371f34ae2462,bloom,Where is my bat?,https://s3.amazonaws.com/bloomharvest/XO5qBMpyjZ%2f1767855458181%2fbloomdigital%2fASP_100_where_is_my_bat_Page_02_Image_1.jpg,Y,최대 해상도,770768,
24,both,39f5decc-aa1e-4fea-a8ce-90c13e1959eb,gdl,Where is My Mother?,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201021351-7c82e3c3967af7cd0fc0bc6c6c18d468-18822c6429bd134f30d1d1bc59c992c0.jpg,,팀장 판단(해상도 동률 2권),440181,
24,both,8ca85744-561b-4098-938c-32cf495cebbe,bloom,Where is My Mother?,https://s3.amazonaws.com/bloomharvest/4h6e5PULlb%2f1775134769041%2fbloomdigital%2fPicture2.jpg,,팀장 판단(해상도 동률 2권),558720,
