id,coverN,old_cover_url
30717d3f-5df3-4b2f-9689-8bb92d238564,35717,"https://africanstorybook.org/illustrations/covers/35717.png"
61704755-f4e9-4054-9eb8-d901a4a83c45,35730,"https://africanstorybook.org/illustrations/covers/35730.png"
0e8bf070-8c54-47d4-b208-521e57ec9a06,35731,"https://africanstorybook.org/illustrations/covers/35731.png"
98d989bc-fd06-46b5-98e5-33983546a9c4,35770,"https://africanstorybook.org/illustrations/covers/35770.png"
03d4cc8b-b405-408f-a85c-f30cb7431dd3,35782,"https://africanstorybook.org/illustrations/covers/35782.png"
7ad47c0d-653b-4992-99a0-3f9becbed4ce,35785,"https://africanstorybook.org/illustrations/covers/35785.png"
c9bf6104-c622-431c-af47-9d4b0b876691,35857,"https://africanstorybook.org/illustrations/covers/35857.png"
d8a15799-2ce9-41eb-822c-4a5a84a6457b,35860,"https://africanstorybook.org/illustrations/covers/35860.png"
f74e447e-1495-4778-a5f2-49e99256d5c2,35872,"https://africanstorybook.org/illustrations/covers/35872.png"
fb8734f8-88a8-4b67-b886-eada7754844c,35910,"https://africanstorybook.org/illustrations/covers/35910.png"
28051b09-d381-4926-8f69-ea497703f89f,35911,"https://africanstorybook.org/illustrations/covers/35911.png"
057faa79-793a-4061-b9e9-b4760b879700,35912,"https://africanstorybook.org/illustrations/covers/35912.png"
f251e582-2c9d-472d-a891-56d4afabd937,35945,"https://africanstorybook.org/illustrations/covers/35945.png"
9157f9d5-2d72-49f3-b2bf-c99e9423fcbb,35952,"https://africanstorybook.org/illustrations/covers/35952.png"
48def959-031e-430f-90e3-c9f3c5989f7f,35954,"https://africanstorybook.org/illustrations/covers/35954.png"
f42560a9-7061-4ae2-a268-fba5fddad540,35955,"https://africanstorybook.org/illustrations/covers/35955.png"
d5be6315-9ef7-47c0-8a3a-2eb7754e03e1,35957,"https://africanstorybook.org/illustrations/covers/35957.png"
e0d8781b-781c-40ed-b597-7d7ee79ea811,35983,"https://africanstorybook.org/illustrations/covers/35983.png"
aa92a4c5-bbcb-4606-97fe-d5ce5ab5bbdb,35990,"https://africanstorybook.org/illustrations/covers/35990.png"
a1131d20-0ca9-4817-b539-1bb2b6b81e27,36105,"https://africanstorybook.org/illustrations/covers/36105.png"
c853c32b-e85d-4961-9418-871b47403955,36152,"https://africanstorybook.org/illustrations/covers/36152.png"
20a45619-e2c5-4a72-8140-83653350a710,36157,"https://africanstorybook.org/illustrations/covers/36157.png"
cd5c5077-22d5-4c51-8ee4-94dc34274dfe,36159,"https://africanstorybook.org/illustrations/covers/36159.png"
cd9a7c32-fcae-4a06-a74b-fb3ac91d891c,36192,"https://africanstorybook.org/illustrations/covers/36192.png"
a9c091f7-02b4-4363-9298-2b7a81bc7b85,36194,"https://africanstorybook.org/illustrations/covers/36194.png"
b01f6239-98bb-434c-ba84-f0b7d658a2b6,36240,"https://africanstorybook.org/illustrations/covers/36240.png"
56c92f80-b577-4d97-acc5-752913030f70,36299,"https://africanstorybook.org/illustrations/covers/36299.png"
0050f7ad-11e2-4f19-a5e2-a0f37ca3b5cb,36320,"https://africanstorybook.org/illustrations/covers/36320.png"
306c0f7b-d044-4fcd-95ab-c06fcbea6e16,36494,"https://africanstorybook.org/illustrations/covers/36494.png"
47346942-1622-4b98-8551-7b02ccd03e58,36495,"https://africanstorybook.org/illustrations/covers/36495.png"
6de14d52-866f-4030-94dd-af92e5269f70,36498,"https://africanstorybook.org/illustrations/covers/36498.png"
89ab411e-9377-4e64-af07-aae875922a86,36503,"https://africanstorybook.org/illustrations/covers/36503.png"
3aedfad6-8531-4e9f-82d5-92ada87a72f6,36505,"https://africanstorybook.org/illustrations/covers/36505.png"
802f47f3-598a-43b9-9449-425232dc486c,36533,"https://africanstorybook.org/illustrations/covers/36533.png"
26fa39ba-b746-4e1d-9684-97d672c93d34,36534,"https://africanstorybook.org/illustrations/covers/36534.png"
4dde2dbb-637f-4e58-8b99-5f45d00c0dcd,36535,"https://africanstorybook.org/illustrations/covers/36535.png"
