new_title,new_source_id,new_author,new_level,matched_existing_title,matched_existing_source_platform,matched_existing_author,classification,match_scope
One Two Three,3e8de7ba-e645-4400-9a69-0ef40d70248f,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Rabbit Goes to a Party,e2d15511-a7cd-4ada-990d-7a70b8f00343,Mozambican Writers,2,Rabbit Goes To A Party,african_storybook,Mozambican folktale,false-positive,db
Domestic animals,d73f6041-8684-4bdd-93f6-bf3a44244c49,Sandy Campbell,1,Domestic animals,bloom(batch),Sandy Campbell,true-dup,batch
Back to School,2a26f785-6c35-4caa-adca-d77a3a512017,SIL-PNG Education for Life,1,Back to School,bloom,various,false-positive,db
Friends,37029e41-95dc-44a2-9694-c3732e3c441c,Catherine Groenewald,2,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
Teeth,a2096671-185d-4e86-95de-72391abd2416,Rob Owen,2,Teeth,bloom(batch),Rob Owen,true-dup,batch
Dangerous Objects,fcb555e1-55c4-49e7-84ea-0ea0a3462885,International Illustrations; The Art of Reading 3.0,1,Dangerous Objects,bloom(batch),International Illustrations; The Art of Reading 3.0,true-dup,batch
The Moon and the Cap,bcb307e6-5ad9-4238-9ee2-5a435b3dde9a,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
"Goat, Dog and Cow",184cd5ca-10ec-4d8f-a19d-ddcb804f4f98,Marleen Visser,2,"Goat, Dog and Cow",bloom(batch),Marleen Visser,true-dup,batch
Action Words,d4c3a825-f709-4932-9ff4-564fc5a6515c,Rodney Sidion,1,Action Words,bloom(batch),Rodney Sidion,true-dup,batch
Rain,232b4859-e9d8-497b-90bd-d4d6d1d8e038,Marleen Visser,2,Rain,gdl,,unknown(author-missing),db
My red ball,8ac152bf-2a24-46a5-ba1c-1c2bd254f26d,Marion Drew,2,My red ball,bloom(batch),Eliza Atagulova,false-positive,batch
One Two Three,98f13199-85af-4b4a-baba-1347018fb371,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
My Two Dogs,47422eea-ffbe-4e98-a2d0-4580296167a0,,2,My Two Dogs,bloom(batch),,unknown(author-missing),batch
Farm Animals,45171d0f-49bb-4196-a2a9-08359c94dc02,Marleen Visser,1,Farm Animals,bloom,Marleen Visser,true-dup,db
Lost and Found,88caa1eb-6ff5-41bc-9bb6-c9ea543f850a,Sukhada Rahalkar,2,Lost and Found,bloom(batch),Sukhada Rahalkar,true-dup,batch
My Mother,f82a112a-bec9-4813-8fdb-187fb4633f7f,,1,My Mother,bloom(batch),,unknown(author-missing),batch
Big Blue Bus,599e7c36-e865-4708-aa29-cbb943080df3,Mango Tree,2,Big Blue Bus,african_storybook,Mecelin Kakoro,false-positive,db
Have You Seen These Birds?,4549a5c4-64e7-4dcf-bc28-4c81ad8b164a,Muniza Shariq,2,Have You Seen These Birds?,bloom(batch),Muniza Shariq,true-dup,batch
"Come Back, Cat!",74f9b2b6-bf5f-4257-b465-119bbced7fe2,Karen Lilje,2,"Come Back, Cat!",book_dash,"Nicola Rijsdijk, Karen Lilje, Sam Scarborough",true-dup,db
Colours of Nature,ade8e83d-9b2a-4bd5-8404-e0a4385a9113,Bulbul Sharma,2,Colours of nature,gdl,,unknown(author-missing),db
The Moon and the Cap,15e4ebdf-a652-4f72-85a7-d903c311b507,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
The Lord is My Shepherd,35b7c8fe-cfa3-4724-b797-42be3043ef0a,Marleen Visser,2,The Lord is My Shepherd,african_storybook,Little Zebra Books,false-positive,db
The Moon and the Cap,1e787bf6-1910-4ec1-8ebd-085a5dbe3a9d,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
My red ball,450c2423-9fbd-438e-924b-ee7f7146774b,Eliza Atagulova,2,My red ball,bloom(batch),Eliza Atagulova,true-dup,batch
Healthy Body,b3a03f0e-8500-49c1-ba32-fcbae3bfb469,,2,Healthy Body,bloom(batch),,unknown(author-missing),batch
Opposites and Differences 1,a6af0e9c-9c17-437c-beb8-5bc892f1b4f0,various,1,Opposites and Differences 1,bloom(batch),SIL-PNG Education for Life,false-positive,batch
I Am Not Afraid!,261b8c66-c13c-4690-97d5-cd33328a1435,Rayika Sen,2,I Am Not Afraid!,bloom(batch),Rayika Sen,true-dup,batch
Many Bananas,2b8f144e-5eca-414a-a085-7a26bbf85108,Angie & Upesh,2,Many Bananas,bloom(batch),Angie & Upesh,true-dup,batch
What Does Anu See?,20324220-f7c5-44b0-9c92-bf05a12bf416,Lavanya Karthik,2,What Does Anu See?,bloom(batch),Lavanya Karthik,true-dup,batch
Count to Ten,d847a298-7727-48b7-8823-aa8e83d093ab,Cathy Marlett,1,Count to Ten,bloom,,unknown(author-missing),db
One Two Three,61865c80-3a15-47bc-a24a-9e034a159350,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
What's happening?,123950ad-a701-450f-9fea-d5d5aff4cbca,,1,What's happening?,bloom(batch),,unknown(author-missing),batch
Animals,f2e8fde5-b8b1-4f4f-b327-6ceea9e07ded,Marleen Visser,1,Animals,bloom(batch),pixabay.com,false-positive,batch
Our Father,16d97cec-4987-496a-b768-a1c1114a28ee,Marleen Visser,2,Our Father,bloom(batch),Marleen Visser,true-dup,batch
One Two Three,9e2ab2fc-02bc-4513-9b7d-834664c16ba4,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
What Is It?,9ce63e9b-ca52-4710-a124-1a7fa8e52a0c,Robyn Penn,2,What is it?,book_dash,"Kate Sidley, Robyn Penn, Ann Roberts",true-dup,db
They Can Do Many Things,7091c753-1f2c-4db0-95e4-1605fd3f67d3,Wiehan de Jager,2,They Can Do Many Things,bloom(batch),Wiehan de Jager,true-dup,batch
Little and Big,12a5edac-f7b9-429f-865f-b83943cd7664,Vian Oelofsen,1,Little and big,bloom,Little and big,false-positive,db
One Two Three,349556d5-1245-4243-9c4b-feee865e581e,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Everyone is Different,4c3ddfc5-634d-4c60-8ddb-2fea357bed48,N.D. Mazin,1,Everyone is Different,bloom(batch),N.D. Mazin,true-dup,batch
The Moon and the Cap,9c57dfe2-5227-4356-a0c0-06e4bdaebc0c,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
The Moon and the Cap,b6bc8a28-e200-489e-9c85-f3ee0defd81f,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
I like to read,3ce094fc-e319-46a5-857c-ae65868325e8,Wiehan de Jager,2,I like to read,bloom(batch),Wiehan de Jager,true-dup,batch
A Very Tall Man,0256c58e-d8fb-4072-9044-c7388d1e9d06,Catherine Groenewald,2,A Very Tall Man,bloom(batch),Catherine Groenewald,true-dup,batch
Little and big,868e41cd-dd67-41b2-8c25-e693a136caf9,Little and big,1,Little and big,bloom,Little and big,true-dup,db
Back to School,d0236b33-d2ea-4b99-9909-980bd083cd48,SIL-PNG Education for Life,1,Back to School,bloom,various,false-positive,db
Too Big! Too Small!,414352fb-3a98-4de1-b650-7eb30a894434,Lavanya Karthik,2,Too Big! Too Small!,bloom(batch),Lavanya Karthik,true-dup,batch
Basketball,82440ebf-f79f-47e2-8ad2-ae02785dcb8d,Dan Elkins,2,Basketball,bloom(batch),Dan Elkins,true-dup,batch
Let's Count Birds,1a0e1f3d-68dd-4ba7-b981-664c320f9cc8,Cuax,2,Let's Count Birds,bloom(batch),Pixabay,false-positive,batch
Rain,346e783a-1b5b-4191-8462-c1786a71ae4d,Marleen Visser,2,Rain,gdl,,unknown(author-missing),db
The Moon and the Cap,7d44eb16-86e8-4233-a7b3-95a4baab5c11,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Lizard and Her Friends,1eceef51-200d-471b-a7bd-7f3f95ae88c2,Louise Bass,1,Lizard and Her Friends,bloom(batch),Louise Bass,true-dup,batch
I Feel,2de995ec-40a2-4da4-8eca-421fab6c9d18,Craig Aldred,1,I Feel,bloom,Craig Aldred,true-dup,db
A Man Who Built a House,1908a99d-bb20-424c-b565-d8c41d194a00,"Rob Owen, Marleen Visser, Wiehan de Jager, Alex",2,A Man Who Built a House,bloom(batch),"Rob Owen, Marleen Visser, Wiehan de Jager, Alex",true-dup,batch
One Two Three,99d67e48-4d06-49fe-a1a9-3d28bc17a0ef,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Wild Animals,9cb5f25e-c284-4f45-aac5-7bdc3610b7fd,Marleen Visser,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Fishing in My Village,c558cad8-e6ff-4ee1-9c7f-09713172ee1d,Nivong Sengsakoun,2,Fishing in My Village,bloom(batch),Nivong Sengsakoun,true-dup,batch
What's happening?,23e8a69a-08ea-4406-aa1c-a2f3ddf4bb2c,,1,What's happening?,bloom(batch),,unknown(author-missing),batch
Arrogant Bird Learned Lesson,6a1369b1-68cc-4dba-91de-6e9b2860258c,Tessa Welch,2,Arrogant Bird Learned Lesson,bloom(batch),Tessa Welch,true-dup,batch
I will help you,f924c74e-dc40-402d-b65f-8a5c9bdaf613,Olivia Villet,2,I Will Help You,book_dash,"Fathima Kathrada, Olivia Villet, Andrea Abbott",true-dup,db
School Clothes,f05d52ec-c83b-4ada-a126-76f00cf12d92,Mlungisi Dlamini,1,School Clothes,bloom(batch),Mlungisi Dlamini,true-dup,batch
Tom Keeps Animals,d6f6becd-43fa-44ec-9177-209e30e325b4,Sandy Campbell adapted by Elizabeth Carlson 2018,1,Tom Keeps Animals,bloom(batch),Sandy Campbell adapted by Elizabeth Carlson 2018,true-dup,batch
Let's Eat!,9144df16-e78b-4927-806f-eed8f7f00d8a,Sue Beattie,1,Let's Eat!,bloom(batch),Sue Beattie,true-dup,batch
Parts of the Face,85c81243-9b49-4d6e-b4bc-58413871dcf7,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
One Two Three,7e1ff7ef-e355-40a9-b3fa-684f5464e9b8,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
ДЕТИ ЖИВОТНЫХ,3664dc25-ea40-4e39-962d-ba4d8e80822b,Freepik Company S.L.,2,ДЕТИ ЖИВОТНЫХ,bloom(batch),,unknown(author-missing),batch
I Can Make Things!,46c6234a-69c8-458a-bd1a-336282ff6eb2,Tanvee Nabar,2,I Can Make Things!,bloom(batch),Tanvee Nabar,true-dup,batch
Where is my Dolly?,5c573665-9309-4b9d-82f4-680b8221575f,Melany Pietersen,2,Where is my Dolly?,bloom(batch),Melany Pietersen,true-dup,batch
Colours,ab1aea58-e2e4-443b-80a1-bddff931eb33,Rijuta Ghate,2,Colours,gdl,StoryWeaver,false-positive,db
Little and big,6627be18-1142-4e1c-8da9-8a32d835d584,Little and big,1,Little and big,bloom,Little and big,true-dup,db
I Feel,2941bad3-e113-4e51-9ea8-3051305199ed,Craig Aldred,1,I Feel,bloom,Craig Aldred,true-dup,db
Wild Animals,7e58fbe6-d79c-40f1-824f-ac84af0d102a,Susan Rose,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
This and That,6c784ea2-cfa2-4246-b1a3-c78401dc3a37,Ruchi Shah,2,This and That,gdl,,unknown(author-missing),db
Wild Animals,d15ddcd8-5473-4e35-9e5f-e60ff2a3c7e0,Mbange Ernest Bawe,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Fox and Rooster,d88e8285-fe17-4bb5-9910-9303834521ba,Wiehan de Jager,2,Fox and Rooster,african_storybook,Vincent Afeku,false-positive,db
Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,73cec176-85a0-4fb5-8ba3-51932072079d,Vusi Malindi,2,Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,bloom(batch),Vusi Malindi,true-dup,batch
My Camping Adventure,9c6e3856-5012-43b2-9118-d3dc66441bb8,sri,1,My Camping Adventure,bloom(batch),SIL,false-positive,batch
Little and big,fdd12843-d68e-4828-ab9c-aa8df09317ce,Little and big,1,Little and big,bloom,Little and big,true-dup,db
"Meet More Family. Phase 1, Unit 5, Game 5B Mvskoke Growing Bilingual Community",1869f651-62cd-41b0-a400-af4b496ec154,Aimee Harjoe and Canva artists,1,"Meet More Family. Phase 1, Unit 5, Game 5B Mvskoke Growing Bilingual Community",bloom(batch),Aimee Harjoe and Canva artists,true-dup,batch
How to Tame a Monster,b8e3cf23-3204-4f26-b359-8783f1104f70,Anja Venter,2,How to Tame a Monster,book_dash,Sam Beckbessinger,false-positive,db
No Pigs Allowed,9dace09b-04f4-4a5a-9787-c25544ab4046,Laura Liberatore,2,No Pigs Allowed,gdl,African Storybook,false-positive,db
