book_id,platform,source_id,title,http_status,fetch_ok,n_text,n_image,axis_match,axis_diff,empty_pages,chars_raw,chars_billable,max_page_chars,p_numbers_contiguous,p_min,p_max,mojibake_suspect,error,flags,content_url
2a07b2d9-b686-4df8-9577-0922f8e437e4,african_storybook,20853,Old Woman In A Bottle,200,True,16,17,False,-1,0,1279,1286,104,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20853.txt
a97b0413-7f1c-4dfc-9a18-3c556c0d0594,african_storybook,20870,Lioness And Ostrich,200,True,16,17,False,-1,0,760,764,66,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20870.txt
ba94b99f-5ca4-40ab-adc7-a0b750794ff6,african_storybook,20873,The Mule,200,True,16,17,False,-1,0,814,823,68,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20873.txt
b8234969-3434-4d12-8457-228c136668ec,african_storybook,20874,Animals Run Away,200,True,12,13,False,-1,0,587,587,62,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20874.txt
556de4ef-bcfc-4ff9-b3b6-2c4c9c918418,african_storybook,20876,Ungrateful Jackal,200,True,16,17,False,-1,0,720,722,64,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20876.txt
a998e460-364f-4946-87e1-61bf3b59e791,african_storybook,20879,Bride Wealth,200,True,13,14,False,-1,0,521,525,59,True,1,13,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20879.txt
3f3fbd16-0a38-41d1-a6ee-7a0c4405db70,african_storybook,20884,Animals Get Legs,200,True,16,17,False,-1,0,693,696,65,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20884.txt
94d0bd87-f98f-4c10-a9e2-ab57fb2cb70b,african_storybook,20886,Ogres Are Stupid,200,True,12,13,False,-1,0,572,574,62,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20886.txt
98a6452c-94c3-4dd0-b828-2ee874287402,african_storybook,20892,Unlucky Day!,200,True,20,21,False,-1,0,938,942,60,True,1,20,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20892.txt
3ca67178-f695-4148-891b-b548c6179551,african_storybook,20910,Baby And Cranes,200,True,8,9,False,-1,0,405,405,60,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20910.txt
61e4c723-3348-4294-9c59-7244454f7841,african_storybook,20911,Crocodile And Dog,200,True,12,13,False,-1,0,547,548,66,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20911.txt
57be6013-7813-49b1-b18f-7d7bb47512c1,african_storybook,20917,Trickster Hare,200,True,12,13,False,-1,0,572,574,61,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20917.txt
92056d12-e66a-47ce-a385-52ff8b36cf0d,african_storybook,20936,Elephant And The Spirit,200,True,8,9,False,-1,0,622,625,108,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/20936.txt
