platform,source_id,title,fetch_ok,http_status,n_text,n_image,emitted,missing,extra,bad_scheme,error
african_storybook,22035,Clever woman,True,200,12,13,12,0,1,0,
african_storybook,22037,Four lambs and a fox,True,200,12,13,12,0,1,0,
african_storybook,22046,Monkey and the shoes,True,200,12,13,12,0,1,0,
african_storybook,22047,Result of disobedience,True,200,8,9,8,0,1,0,
african_storybook,2205,Clever Jackal and Foolish Crow,True,200,8,9,8,0,1,0,
african_storybook,22050,Ten lost boys,True,200,12,13,12,0,1,0,
african_storybook,22114,Father's advice,True,200,8,9,8,0,1,0,
african_storybook,22127,Is Dedo really mad?,True,200,12,13,12,0,1,0,
african_storybook,22166,Cassava and Palm,True,200,16,17,16,0,1,0,
african_storybook,22168,Why  Donkey cries louder than Horse,True,200,12,13,12,0,1,0,
african_storybook,22181,Friendship between a donkey and a hyena,True,200,12,13,12,0,1,0,
african_storybook,22183,Lion's shoes,True,200,12,13,12,0,1,0,
african_storybook,22184,Raven and Fox,True,200,12,13,12,0,1,0,
african_storybook,22185,The coneys and the genet,True,200,12,13,12,0,1,0,
african_storybook,22191,Drum,True,200,8,9,8,0,1,0,
african_storybook,22194,Skillful musicians,True,200,8,9,8,0,1,0,
african_storybook,22256,Kate is in heaven,True,200,17,17,17,0,0,0,
african_storybook,22261,Three boxes of wealth,True,200,12,13,12,0,1,0,
african_storybook,22315,The coffee legend,True,200,21,22,21,0,1,0,
african_storybook,22325,Musa and the cat,True,200,8,9,8,0,1,0,
african_storybook,22357,The boy who ran away,True,200,12,13,12,0,1,0,
african_storybook,22410,Kaldi and the coffee fruit,True,200,12,13,12,0,1,0,
african_storybook,22481,Thembi and the Singing,True,200,27,28,27,0,1,0,
african_storybook,22510,Pa Nase the spider and the village women,True,200,12,13,12,0,1,0,
african_storybook,22542,Magical rainbow river,True,200,12,13,12,0,1,0,
african_storybook,22550,How colours came together in the sky,True,200,12,13,12,0,1,0,
african_storybook,22565,Drought and the River of Blessings,True,200,12,13,12,0,1,0,
african_storybook,22599,The prince who had no name,True,200,12,13,12,0,1,0,
african_storybook,22602,Persistent man,True,200,5,6,5,0,1,0,
african_storybook,22642,The kingfisher and the sea,True,200,12,13,12,0,1,0,
african_storybook,22659,Who stole the Food,True,200,6,7,6,0,1,0,
african_storybook,22675,What the African Storybook does,True,200,9,10,9,0,1,0,
african_storybook,22679,Donkey,True,200,10,12,10,0,2,0,
african_storybook,22702,The Boy and the Monkey,True,200,9,3,3,6,0,0,
african_storybook,22706,Three truths of Hyena,True,200,12,13,12,0,1,0,
african_storybook,22741,A Mysterious Day,True,200,8,8,8,0,0,0,
african_storybook,22772,Honesty is a wealth,True,200,6,7,6,0,1,0,
african_storybook,2278,The Friend I Miss,True,200,11,11,11,0,0,0,
african_storybook,22870,We Are The Same,True,200,9,10,9,0,1,0,
african_storybook,22971,Sheep who got tired of city life,True,200,12,13,12,0,1,0,
african_storybook,22996,Body,True,200,10,11,10,0,1,0,
african_storybook,23002,Three Best Friends,True,200,10,8,8,2,0,0,
african_storybook,23015,Education is the key,True,200,10,11,10,0,1,0,
african_storybook,23064,Kitchen Time,True,200,12,13,12,0,1,0,
african_storybook,23116,The Little Elephant,True,200,6,7,6,0,1,0,
african_storybook,23135,Face,True,200,10,11,10,0,1,0,
african_storybook,23150,The Magic Flower,True,200,6,7,6,0,1,0,
african_storybook,23165,Alake loves Visitors,True,200,7,8,7,0,1,0,
african_storybook,23172,Mojo and Tortiose,True,200,8,9,8,0,1,0,
african_storybook,23187,Water is life,True,200,8,9,8,0,1,0,
african_storybook,23220,Mark's trip to the zoo,True,200,9,10,9,0,1,0,
african_storybook,2327,"The Seventh Sun: a Tribal Tale From Odisha, India",True,200,11,12,11,0,1,0,
african_storybook,23405,Monkey and the twins,True,200,12,13,12,0,1,0,
african_storybook,23430,Happy dogs,True,200,8,9,8,0,1,0,
african_storybook,23686,Atieno's friend,True,200,12,13,12,0,1,0,
african_storybook,23798,The Wise Boy,True,200,9,10,9,0,1,0,
african_storybook,23860,Elephant and Hippo,True,200,12,13,12,0,1,0,
african_storybook,23861,Aku and her ice cream,True,200,12,13,12,0,1,0,
african_storybook,23862,"Abebech, the female bajaj driver",True,200,10,10,10,0,0,0,
african_storybook,23936,Bird Hunters,True,200,8,9,8,0,1,0,
african_storybook,23938,Result of famine,True,200,12,13,12,0,1,0,
african_storybook,23944,A tiny seed: The story of Wanderimam Danasabe,True,200,12,13,12,0,1,0,
african_storybook,24013,My dog,True,200,5,6,5,0,1,0,
african_storybook,24014,Journey of a Star,True,200,10,11,10,0,1,0,
african_storybook,2408,Market Cows,True,200,16,17,16,0,1,0,
african_storybook,24194,"The one who loves me, knows what I love",True,200,8,9,8,0,1,0,
african_storybook,24215,Whoever doesn't obey elders,True,200,12,12,12,0,0,0,
african_storybook,24219,A happy family,True,200,6,7,6,0,1,0,
african_storybook,24220,My Beautiful Mother,True,200,6,7,6,0,1,0,
african_storybook,24340,Maria's cake,True,200,9,10,9,0,1,0,
african_storybook,24342,The Singing Bird,True,200,9,10,9,0,1,0,
